Id,Label,Synset,Weight
città,città,location,26
sottile,sottile,misc_adjective,6
profondo,profondo,location,1
sotterraneo,sotterraneo,building,2
terra,terra,location,1
lungo,lungo,misc_adjective,2
buco,buco,shape,1
verticale,verticale,misc_adjective,3
perimetro,perimetro,shape,1
verdeggiante,verdeggiante,misc_adjective,1
buio,buio,time,1
sepolto,sepolto,misc_adjective,1
paesaggio,paesaggio,location,1
invisibile,invisibile,misc_adjective,1
visibile,visibile,misc_adjective,1
sole,sole,location,2
calcareo,calcareo,misc_adjective,1
secondo,secondo,time,2
profondità,profondità,location,1
nero,nero,color,1
vena,vena,location,2
sotterrraneo,sotterrraneo,misc_adjective,1
fuori,fuori,location,1
castello,castello,building,1
traliccio,traliccio,building,1
cima,cima,location,1
arco,arco,time,1
acquedotto,acquedotto,location,1
colonna,colonna,building,1
aereo,aereo,misc_adjective,1
tutto,tutto,misc_adjective,1
alto,alto,location,2
ora,ora,time,3
mirabile,mirabile,misc_adjective,1
terreno,terreno,location,2
asciutto,asciutto,misc_adjective,1
altissimo,altissimo,misc_adjective,1
casa,casa,location,3
ballatoio,ballatoio,building,1
balcone,balcone,building,1
pensilo,pensilo,misc_adjective,1
forma,forma,shape,2
successivo,successivo,misc_adjective,1
primo,primo,misc_adjective,2
indecifrabile,indecifrabile,misc_adjective,1
vita,vita,time,3
felice,felice,misc_adjective,2
sospeso,sospeso,misc_adjective,2
diverso,diverso,misc_adjective,1
elemento,elemento,location,1
modello,modello,shape,1
inutile,inutile,misc_adjective,1
infelice,infelice,misc_adjective,1
anno,anno,time,3
demolita,demolita,misc_adjective,1
muro,muro,building,2
soffito,soffito,misc_adjective,1
piano,piano,shape,1
troppopieni,troppopieni,misc_adjective,1
bagno,bagno,building,2
tardivo,tardivo,misc_adjective,1
lavoro,lavoro,location,1
prima,prima,building,3
arrivo,arrivo,location,1
impianto,impianto,building,1
indistruttibile,indistruttibile,misc_adjective,1
deserto,deserto,location,1
raro,raro,misc_adjective,1
giovane,giovane,misc_adjective,1
donna,donna,shape,1
snello,snello,misc_adjective,1
vuoto,vuoto,shape,2
schiuma,schiuma,shape,1
corso,corso,location,1
facile,facile,misc_adjective,1
nuovo,nuovo,misc_adjective,4
regno,regno,time,1
acquatico,acquatico,misc_adjective,1
fonte,fonte,location,1
moltiplicato,moltiplicato,misc_adjective,1
modo,modo,shape,1
votivo,votivo,misc_adjective,1
contento,contento,misc_adjective,1
mattino,mattino,time,1
mezzo,mezzo,location,7
grande,grande,misc_adjective,1
ripido,ripido,misc_adjective,1
girevole,girevole,misc_adjective,1
testa,testa,location,1
cupola,cupola,location,1
circo,circo,building,1
altro,altro,misc_adjective,2
marmo,marmo,shape,2
opificio,opificio,building,1
palazzo,palazzo,building,1
mattatoio,mattatoio,building,1
scuola,scuola,time,1
fisso,fisso,misc_adjective,1
provvisorio,provvisorio,misc_adjective,1
tempo,tempo,time,1
vago,vago,misc_adjective,1
giorno,giorno,time,2
pilone,pilone,building,1
ministero,ministero,building,1
monumento,monumento,location,1
raffineria,raffineria,building,1
ospedale,ospedale,building,1
piazza,piazza,location,2
itinerario,itinerario,location,1
navicella,navicella,building,2
mese,mese,time,1
intero,intero,misc_adjective,1
precipizio,precipizio,shape,1
scoscese,scoscese,misc_adjective,1
cresta,cresta,location,1
passerella,passerella,building,1
attento,attento,misc_adjective,1
piede,piede,shape,1
intervallo,intervallo,shape,1
metro,metro,shape,1
basso,basso,location,1
fondo,fondo,location,1
base,base,location,1
passaggio,passaggio,location,1
corda,corda,shape,1
terrazzo,terrazzo,building,1
teleferica,teleferica,misc_adjective,1
pianta,pianta,location,1
abisso,abisso,shape,1
incerto,incerto,misc_adjective,1
